Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic
79,Valid Sudoku,36,Medium,64.2,58.9,A,Array/Hash Table/Matrix
80,4Sum,18,Medium,40.0,58.7,A,Array/Two Pointers/Sorting
81,Identify the Largest Outlier in an Array,3371,Medium,36.2,58.7,A,Array/Hash Table/Counting
82,Single Number,136,Easy,77.4,58.2,A,Array/Bit Manipulation
83,Max Consecutive Ones III,1004,Medium,67.3,58.0,A,Array/Binary Search/Sliding Window
84,Serialize and Deserialize Binary Tree,297,Hard,60.4,57.5,A,Tree/DFS/BFS/Design
85,Palindrome Linked List,234,Easy,57.5,57.5,A,Linked List/Two Pointers/Stack
86,Reverse Nodes in k-Group,25,Hard,65.4,57.3,A,Linked List/Recursion
87,Capacity To Ship Packages Within D Days,1011,Medium,73.5,57.3,A,Array/Binary Search
88,Sqrt(x),69,Easy,41.4,57.3,A,Math/Binary Search
89,Daily Temperatures,739,Medium,68.4,57.1,A,Array/Stack/Monotonic Stack
90,Search a 2D Matrix,74,Medium,53.6,57.1,A,Array/Binary Search/Matrix
91,Single Element in a Sorted Array,540,Medium,59.2,56.8,A,Array/Binary Search
92,Binary Tree Right Side View,199,Medium,69.5,56.8,A,Tree/BFS/DFS
93,Reverse Linked List,206,Easy,80.3,56.8,A,Linked List/Recursion
94,Binary Tree Zigzag Level Order Traversal,103,Medium,63.2,56.6,A,Tree/BFS/Binary Tree
95,Zigzag Conversion,6,Medium,53.6,56.6,A,String
96,LFU Cache,460,Hard,48.6,56.6,A,Hash Table/Linked List/Design
97,Regular Expression Matching,10,Hard,30.5,56.3,A,String/DP/Recursion
98,All Nodes Distance K in Binary Tree,863,Medium,67.4,56.3,A,Tree/DFS/BFS/Hash Table
99,Set Matrix Zeroes,73,Medium,62.5,56.1,A,Array/Hash Table/Matrix
100,Search Insert Position,35,Easy,50.7,56.1,A,Array/Binary Search
101,Contains Duplicate,217,Easy,64.1,55.8,A,Array/Hash Table/Sorting
102,Remove Element,27,Easy,61.4,55.8,A,Array/Two Pointers
103,Find the Duplicate Number,287,Medium,64.0,55.5,A,Array/Two Pointers/Binary Search
104,Binary Tree Level Order Traversal,102,Medium,72.2,55.0,A,Tree/BFS/Binary Tree
105,Next Greater Element II,503,Medium,67.9,55.0,A,Array/Stack/Monotonic Stack
106,First Unique Character in a String,387,Easy,65.1,54.7,A,Hash Table/String/Queue/Counting
107,Missing Number,268,Easy,71.7,54.7,A,Array/Hash Table/Math/Bit Manipulation
108,Word Search II,212,Hard,38.1,54.4,A,Array/String/Backtracking/Trie/Matrix
109,"Pow(x, n)",50,Medium,38.3,54.4,A,Math/Recursion
110,Candy,135,Hard,48.0,54.4,A,Array/Greedy
111,Permutations,46,Medium,81.7,54.2,A,Array/Backtracking
112,String Compression,443,Medium,59.6,54.2,A,Two Pointers/String
113,Gas Station,134,Medium,47.5,54.2,A,Array/Greedy
114,Combination Sum,39,Medium,76.1,54.2,A,Array/Backtracking
115,Two Sum II - Input Array Is Sorted,167,Medium,64.6,53.6,A,Array/Two Pointers/Binary Search
116,Find the Index of the First Occurrence in a String,28,Easy,46.3,53.6,A,Two Pointers/String/String Matching
117,Concatenated Words,472,Hard,49.7,53.6,A,Array/String/DP/DFS/Trie
118,Maximum Product Subarray,152,Medium,36.0,53.3,A,Array/DP
119,String to Integer (atoi),8,Medium,20.6,53.3,A,String
120,Integer to Roman,12,Medium,70.5,53.3,A,Hash Table/Math/String
121,Flood Fill,733,Easy,67.9,53.3,A,Array/DFS/BFS/Matrix
122,Reorder List,143,Medium,64.6,53.3,A,Linked List/Two Pointers/Stack/Recursion
123,Longest Increasing Subsequence,300,Medium,59.1,53.0,A,Array/Binary Search/DP
124,Next Greater Element I,496,Easy,75.8,53.0,A,Array/Hash Table/Stack/Monotonic Stack
125,Validate Binary Search Tree,98,Medium,35.4,53.0,A,Tree/DFS/BST
126,Basic Calculator,224,Hard,46.6,52.7,A,Math/String/Stack/Recursion
127,Integer to English Words,273,Hard,34.8,52.7,A,Math/String/Recursion
128,Remove Nth Node From End of List,19,Medium,51.0,52.3,A,Linked List/Two Pointers
129,Valid Palindrome,125,Easy,52.8,52.3,A,Two Pointers/String
130,Middle of the Linked List,876,Easy,81.6,52.3,A,Linked List/Two Pointers
131,Diameter of Binary Tree,543,Easy,65.1,52.3,A,Tree/DFS
132,Odd Even Linked List,328,Medium,62.3,52.0,A,Linked List
133,Linked List Cycle,141,Easy,53.9,52.0,A,Hash Table/Linked List/Two Pointers
134,Reverse Words in a String,151,Medium,55.6,51.7,A,Two Pointers/String
135,Word Break II,140,Hard,55.1,51.7,A,Hash Table/String/DP/Backtracking/Trie
136,Edit Distance,72,Medium,60.2,51.3,A,String/DP
137,Plus One,66,Easy,49.6,51.3,A,Array/Math
138,Partition Equal Subset Sum,416,Medium,49.2,51.0,A,Array/DP
139,Maximum Profit in Job Scheduling,1235,Hard,54.6,51.0,A,Array/Binary Search/DP/Sorting
140,3Sum Closest,16,Medium,48.1,50.7,A,Array/Two Pointers/Sorting
141,Search a 2D Matrix II,240,Medium,56.9,50.7,A,Array/Binary Search/Matrix/Divide&Conquer
142,Sum of Subarray Minimums,907,Medium,38.3,50.7,A,Array/DP/Stack/Monotonic Stack
143,Intersection of Two Arrays,349,Easy,77.5,50.7,A,Array/Hash Table/Two Pointers/Sorting
144,Split Array Largest Sum,410,Hard,59.9,50.7,A,Array/Binary Search/DP
145,Number of Provinces,547,Medium,70.0,50.7,A,Graph/DFS/BFS/Union Find
146,Basic Calculator II,227,Medium,46.7,50.7,A,Math/String/Stack
147,Happy Number,202,Easy,59.3,50.3,A,Hash Table/Math/Two Pointers
148,Evaluate Division,399,Medium,64.0,50.3,A,Graph/DFS/BFS/Union Find
149,Palindrome Partitioning,131,Medium,73.7,50.3,A,String/DP/Backtracking
150,Balanced Binary Tree,110,Easy,57.9,49.9,A,Tree/DFS/Binary Tree
151,Largest Number,179,Medium,42.6,49.9,A,Array/String/Greedy/Sorting
152,Contains Duplicate II,219,Easy,50.8,49.9,A,Array/Hash Table/Sliding Window
153,Fibonacci Number,509,Easy,73.9,49.9,A,Math/DP/Recursion/Memoization
154,Plates Between Candles,2055,Medium,47.3,49.9,A,Array/String/Prefix Sum/Binary Search
155,Max Consecutive Ones,485,Easy,64.6,49.6,A,Array
156,K Closest Points to Origin,973,Medium,68.8,49.6,A,Array/Heap/Quickselect/Sorting
157,Longest Valid Parentheses,32,Hard,38.1,49.6,A,String/DP/Stack
158,Rotate List,61,Medium,41.2,49.6,A,Linked List/Two Pointers
159,Check if Array Is Sorted and Rotated,1752,Easy,55.7,49.2,B,Array
160,Sudoku Solver,37,Hard,65.4,49.2,B,Array/Backtracking/Matrix
161,Decode String,394,Medium,62.3,48.8,B,String/Stack/Recursion
162,Combine Two Tables,175,Easy,79.2,48.8,B,Database
163,Minimum Size Subarray Sum,209,Medium,51.1,48.8,B,Array/Binary Search/Sliding Window/Prefix Sum
164,Time Based Key-Value Store,981,Medium,49.7,48.4,B,Hash Table/String/Binary Search/Design
165,Evaluate Reverse Polish Notation,150,Medium,57.1,48.4,B,Array/Math/Stack
166,Isomorphic Strings,205,Easy,48.1,48.0,B,Hash Table/String
167,Search Suggestions System,1268,Medium,65.1,48.0,B,Array/String/Trie/Sorting
168,Peak Index in a Mountain Array,852,Medium,66.9,48.0,B,Array/Binary Search
169,Symmetric Tree,101,Easy,60.8,47.6,B,Tree/DFS/BFS
170,Add Binary,67,Easy,57.7,47.6,B,Math/String/Bit Manipulation
171,Remove Duplicates from Sorted Array II,80,Medium,64.3,47.6,B,Array/Two Pointers
172,Make Array Zero by Subtracting Equal Amounts,2357,Easy,73.7,47.6,B,Array/Hash Table/Greedy/Sorting
173,Intersection of Two Linked Lists,160,Easy,63.2,47.2,B,Hash Table/Linked List/Two Pointers
174,Rotate String,796,Easy,65.1,47.2,B,String/String Matching
175,Count Primes,204,Medium,35.8,47.2,B,Array/Math/Number Theory
176,Second Highest Salary,176,Medium,46.4,47.2,B,Database
177,Subarrays with K Different Integers,992,Hard,67.6,47.2,B,Array/Hash Table/Sliding Window
178,Maximum Depth of Binary Tree,104,Easy,77.9,47.2,B,Tree/DFS/BFS
